epoch,train_loss,eval_loss,eval_top1,eval_top5
0,0.5508587176983173,6.977738677825927,0.104,0.526
1,0.023407642657940205,5.247540803375244,8.456000010986328,21.93399998046875
2,0.006711996518648588,4.446105290298462,17.47200000366211,38.41599999267578
3,0.006270151871901292,4.197478919601441,20.02400003540039,42.715999998779296
4,0.005959144005408654,3.809836920852661,25.849999979248047,50.16800006103516
5,0.005741339463454027,3.466111633834839,32.75400001464844,59.25199999755859
6,0.005633500906137319,3.7230519635009767,29.090000006103516,54.384000014648436
7,0.005450065319354718,3.4837670153045655,34.65400002807617,60.322000031738284
8,0.005430331596961388,3.1007357347869875,39.994000034179685,66.10400000244141
9,0.005211756779597356,3.608356192550659,33.1399999609375,57.587999953613284
10,0.005324327028714693,3.1347801374816893,40.89800002685547,67.30599994628906
11,0.005217845623309796,3.2169539054870606,40.62000000732422,66.20000001220703
12,0.0051253392146183895,3.007751915512085,43.8219999597168,69.90600004394531
13,0.005145733173076923,3.201731283111572,40.34800000366211,66.11400006835937
14,0.005197488344632662,3.6725636977386475,32.03999997070313,56.13200001953125
15,0.004958152770996094,2.98594682723999,45.04599998901367,71.24199997558594
16,0.005065734569842999,2.853910251159668,47.36200003540039,73.08000004882813
17,0.0049637464376596305,3.1247295603942873,42.56599998901367,67.93400005371093
18,0.004873092357928936,2.983561201477051,45.79200001708984,71.52399991210937
19,0.004979775502131536,3.2677612882232667,38.80600002075195,64.37200000732422
20,0.004987203157865084,3.557812362213135,33.94600003051758,58.1479999609375
21,0.0047733050126295825,2.738083078536987,49.364000009765626,74.9080000390625
22,0.005054272138155424,3.0240810511779785,44.73800002929688,70.05600004638671
23,0.004886150360107422,3.0604419883728027,45.63200001098633,70.93800004882813
24,0.004721421461838942,2.745426985282898,50.1,75.02600000976562
25,0.004750361809363732,2.701532649002075,50.08000006591797,75.03800004638671
26,0.004743759448711689,2.8314601144790648,47.70999998779297,73.07200008056641
27,0.004890075096717248,2.9861337828063963,46.05199997070312,71.25199996582032
28,0.004660771443293645,2.871213556518555,48.24199992919922,72.64799995361328
29,0.0047729198749248795,2.9540038704681395,47.85400004272461,73.19199995605469
30,0.0046330415285550635,2.5684895895767212,53.7700000390625,78.48200010253906
31,0.0046430184290959286,2.7220650395965578,52.55800010253906,77.06000010498047
32,0.004734974641066331,2.7281465187072755,51.366000036621095,76.06200012207032
33,0.004587356860821064,2.6766655307769773,52.51000004150391,77.60599997802734
34,0.004651876596304087,2.850476153182983,49.58000007080078,74.43000007324218
35,0.0046192682706392724,2.486558057060242,54.91800004394531,79.50200005371094
36,0.004579892525306115,2.8259292560577394,48.57000001098633,73.09199996337891
37,0.0046101533449613135,2.8771532010650636,49.329999997558595,73.65199994873046
38,0.0045803326826829175,2.516968719177246,56.458000078125,80.6599999975586
39,0.004491585951585036,2.4818457010650636,54.911999926757815,79.22400002929687
40,0.004496721120981069,2.7256609297180177,51.91200003417969,76.41800003417968
41,0.0044420132270226115,2.762687013168335,50.590000048828124,74.76200010742187
42,0.004349836936363807,2.512595745010376,55.98999997558594,79.84000001953125
43,0.004359923876248873,2.475077519607544,58.908000041503904,82.02800006103516
44,0.0042571838085468,2.4337092990112303,56.5680000390625,80.1199999975586
45,0.0043076185079721305,2.3649681677627563,57.66999996582031,81.53000006103515
46,0.0043751276456392724,2.358939530029297,58.86000008300781,82.61600004638672
47,0.004407864350538988,2.277707685279846,59.64200001953125,82.96200000976563
48,0.004355485622699444,2.2219818041229247,61.737999997558596,84.22600003662109
49,0.0041765616490290714,2.3054283317184447,61.32400009277344,84.02399995605468
50,0.004349451798659105,2.3573926133728027,61.546000065917966,84.02999998779296
51,0.00443115601172814,2.3068665370559693,61.60599999755859,84.19600011230469
52,0.00425567993750939,2.253119628791809,60.914000004882816,83.08399993896484
53,0.004293258373553936,2.2922024697113037,59.99799997070313,82.7620000439453
54,0.004300080812894381,2.078746330337524,64.349999921875,85.99199995605468
55,0.004213259770320012,2.068426731414795,64.37999995605469,86.34799994873048
56,0.004128401096050556,2.2131687411499024,62.89599995605469,85.02800004882812
57,0.004006202404315655,2.072887427101135,66.6940001611328,87.76199992675781
58,0.004063551242534931,2.085009829559326,65.39600007324219,86.82600013427735
