epoch,train_loss,eval_loss,eval_top1,eval_top5
0,0.31231426490614045,6.962782803955078,0.118,0.494
1,0.008855526622098226,5.358470516967773,7.022000017700195,19.228000005493165
2,0.006750954100145743,4.5054697203063965,16.014000043945313,36.15600001953125
3,0.006286114543819657,4.049406381835937,22.40600005126953,46.036000092773435
4,0.005949834487042748,3.707997829666138,27.542000015869142,52.99199997070313
5,0.00571249695852972,3.6470701637268066,30.115999992675782,55.890000126953126
6,0.005616264775968515,3.780913185195923,29.398000048828123,54.935999995117186
7,0.005439297636397756,3.4386225442504883,35.17799999511719,60.93400009765625
8,0.0054167417021325,3.0677620398712158,41.09399999511719,67.6019999609375
9,0.005191146217000026,3.2236946167755125,38.4960000390625,64.41800008544922
10,0.005301312507631687,3.366816660003662,37.535999998779296,63.41400002685547
11,0.005199738491613131,3.172841332015991,39.95400001342774,65.59599994140625
12,0.0050962649894734985,3.0303080278015138,42.60800002441406,68.59800001220704
13,0.005130844047436347,3.1734799337005617,40.37200004760742,65.57999995605469
14,0.005187573126302316,3.5022094012451173,35.516000029296876,60.37000002197266
15,0.004942395581075778,3.1922741094970704,41.99399995361328,66.94600010742188
16,0.005055772480913079,3.212830318222046,41.87000002197266,67.0660000390625
17,0.004959373681161266,3.1247278311157225,44.612000024414066,69.4380001220703
18,0.0048589283743729955,3.1013794732666016,44.14600000976562,69.54200001464844
19,0.004966595890716865,2.6651990925598144,50.97600009521484,76.38999998779298
20,0.004970449040858791,3.135741856689453,42.04400005615234,67.03400001220703
21,0.00476788068548418,2.8920571230316163,46.988000032958986,72.84400008789062
22,0.005045494351249475,2.8449508628845215,47.94399995361328,73.2599999633789
23,0.004870031566287463,3.051013354187012,44.86199996948242,70.25999999267579
24,0.00472823170443567,2.952572749786377,46.89999995117188,72.26399997802734
25,0.004735565045848489,3.073917162704468,44.27600005371094,69.38799998291016
26,0.00474112921466048,2.866211652908325,49.77200001464844,74.78600010009765
27,0.004881872079120233,2.712943092651367,49.86000012207031,75.31799995849609
28,0.00465320349814227,2.6982596829223633,49.7660000402832,75.03799997314454
29,0.0047601961190454085,2.8586678747558594,50.198,74.98400005371094
30,0.004627836939807122,2.7769465140151977,50.20399999023437,75.54200003173828
31,0.004641695539108836,2.6574779265594484,52.93400001220703,77.46799991210938
32,0.004726116008196886,2.586403590087891,53.42600009765625,78.32400003173828
33,0.0045831641003202936,2.7166550018310547,53.62600000244141,78.26799999023437
34,0.004652465013070748,2.5421911961746217,55.82000010253906,80.25399999023438
35,0.00460646075841326,2.752610605773926,51.69199995605469,76.32200001953125
36,0.004581164586572693,3.0721051541137694,44.113999993896485,68.5020000390625
37,0.004598931481058781,2.5867664937591552,54.76800003173828,79.04799996826172
38,0.004579809565956776,2.512473097305298,57.216000095214845,80.75999994873047
39,0.0044831556196396165,2.2911327318573,58.783999907226566,82.01400002441406
40,0.004488047973539393,2.9044779212188723,49.66399997558594,74.22600002685547
41,0.004444183620552604,2.461598836708069,55.97800012207031,79.70599994873047
42,0.004344461449923424,2.4006043056488036,57.94999993652344,81.26800000976563
43,0.004345582081721379,2.892233955154419,49.60600004882812,74.0559999267578
44,0.004258644176073945,2.473338253707886,55.62999999511719,79.29599997558594
45,0.004300419277010055,2.4276797969055175,58.05600003417969,81.60999999267578
46,0.004373588751500042,2.452798170928955,58.9440000390625,81.72000004882813
47,0.0044038658066151235,2.2195086958312986,61.924000146484374,84.72799990234375
48,0.004358217908212772,2.3272728243637086,60.721999992675784,83.51999998535156
49,0.0041843771110647,2.4818264541625976,57.34600002685547,80.95200002685547
50,0.0043487831448706295,2.3084332762527464,62.572,84.95600006591796
51,0.0044251859832841614,2.1785990815353395,62.89200004882812,84.87800000976563
52,0.004253181046806276,2.088494265823364,64.08200000976562,85.88799998046875
53,0.004293416322280581,2.175180771713257,62.90400001220703,85.28600000976563
54,0.004295225120865955,1.9842039192199707,65.85000006835938,87.1959999267578
55,0.004205974409929835,2.1080008768463134,63.82200008544922,85.89799998046875
56,0.004125797503197996,2.1589103021240232,65.1859999975586,86.726
57,0.003997465309042197,2.2055725602722167,65.9059999609375,87.02999998291016
58,0.004061317510114839,2.1952357371902465,64.0820000756836,85.5120000390625
59,0.0040895114921463225,2.088876481590271,67.67599999755859,88.27400002685548
60,0.0040552036908383556,2.190725863990784,62.976000068359376,83.63799993164062
61,0.003995554405264556,1.9100320265197754,68.06999997314453,88.45400013183594
62,0.0039920276120448345,1.8849053450012208,68.56000005126953,88.75400010253907
63,0.003993240328362355,1.883176808166504,68.99800002929688,89.01
64,0.003986779430236381,2.0264582125473023,68.32799993164062,88.352000078125
65,0.003915362910797389,1.735318500289917,69.88599997802734,89.63200005126953
66,0.004021158925472544,1.8965856238937377,70.58000010253906,89.826000078125
67,0.0039784675732684825,1.9175293078231812,70.59199994628906,90.02400017578125
68,0.003690617660490366,1.89501459236145,70.39200007324219,89.4279999975586
69,0.0037813461027466333,1.7968946160125732,71.08000002441406,90.24999997558594
70,0.0037770219093475202,1.867572173500061,72.53200006835938,91.06600004638672
71,0.003949920387150576,1.8673227815246582,70.95400004638672,90.12800002441406
72,0.0038232391950889276,1.6747970071411133,72.60200004638672,91.01800017578125
73,0.003761732467235281,1.648952872543335,73.66199998535156,91.63199991455078
74,0.003631078960517278,1.7245850354766845,71.84199995117187,90.58800010253906
75,0.003606047579803719,1.7937530421066283,73.24400004638672,91.39399989257812
76,0.0036355709531702674,1.636405036392212,74.60199998046875,92.11800004394532
77,0.0034758509674037877,1.614045752029419,75.1759999609375,92.56799996337891
78,0.0034148353062426816,1.684761743965149,75.50200001464843,92.68400009765625
79,0.003560541421533204,1.6976099948120118,75.80600006835938,92.68199999267578
80,0.0035932781801630673,1.750509913482666,75.79200004150391,92.8579999633789
81,0.003569073984041237,1.6702009998321534,75.66000006103516,92.75400004394531
82,0.0036335749050172474,1.6824121452713012,76.38999998535157,93.24200004394531
83,0.0034915633463802245,1.7492556904220582,76.74800006347657,93.33200017089844
84,0.0035102235404058145,1.6326224509429932,77.05999995605468,93.40799999023437
85,0.00339737599894691,1.5954055033111572,77.05800006103516,93.49200009277344
86,0.0035853571025654674,1.5435546444702148,77.36399998046875,93.6800000415039
87,0.0033785377432090733,1.5106937911605836,77.53599995605468,93.77399996337891
88,0.0035055054602428125,1.5455912226867676,77.73400000488282,93.80199993652344
89,0.0033927290664555933,1.689472350921631,77.77399992919922,93.83400001708985
90,0.003397239461684456,1.6577546547698974,77.77399998046874,93.8020000390625
91,0.0034380667180252764,1.667653171043396,77.83800000732423,93.84800004150391
92,0.003474101934653635,1.5760289129638672,78.07399995117187,93.98599999023438
93,0.003415501595904621,1.5309170281982423,78.17399997802734,94.04000001464844
94,0.0035105107370047616,1.5175564686584473,78.27999992675781,94.06199993652343
95,0.0033511042756100115,1.543392063140869,78.16799992675782,94.0359999609375
96,0.0034001397703272793,1.596196862335205,78.16799998046875,94.07800001464844
97,0.003217653210203235,1.5764862447357177,78.22999997802734,94.07400009277343
98,0.0034388659002545932,1.4285268009185792,78.37599995361329,94.12799998779298
99,0.00327110080084262,1.4856152124786377,78.30600010742188,94.07000006591797
